showRate,movieId,subBoxOffice,releaseDay,boxRateshowZero,dailyBoxOffice,movieName
37.21,182,50389,17,47.72,False,3008.1,让子弹飞
38.26,3,35556,11,42.82,False,2699.1,非诚勿扰2
6.64,61325,1998,9,3.51,False,221.4,午夜心跳
5.80,49553,125,2,1.98,False,124.8,一路有你
3.91,540,75,-356,1.19,False,75.1,恋人絮语
1.46,59335,58,213,0.92,False,58.1,前度
1.87,19,19429,29,0.62,False,39.2,赵氏孤儿
2.50,64996,35,2,0.56,False,35.3,绑架冰激凌
1.11,245983,15111,30,0.28,False,17.5,大笑江湖
0.24,917,8911,44,0.27,False,17.1,哈利·波特与死亡圣器（上)
0.07,67674,3,4,0.04,False,2.6,医生的假日
0.11,405,13551,47,0.02,False,1.5,生化危机4：战神再生
0.14,66395,1,10,0.02,False,1.1,回忆之前，忘记之后
0.05,3286,1,4496,0.02,False,0.9,一路上有你
0.02,246104,2036,58,0.01,False,0.4,我的野蛮女友2
0.03,64673,0,201,0.01,False,0.3,替身传奇乐翻天
0.00,57560,0,1173,0.00,False,0.2,星星之火
0.02,61781,1289,38,0.00,False,0.2,李小龙我的兄弟
0.01,50580,0,731,0.00,False,0.1,邓稼先
0.01,43019,0,33,0.00,False,0.1,我的名字叫可汗
38.14,182,52622,18,48.04,False,2232.8,让子弹飞
38.20,3,37497,12,41.75,False,1940.6,非诚勿扰2
6.61,341590,167,-1706,3.59,False,166.8,午夜邂逅
5.75,49553,365,3,2.10,False,97.4,一路有你
3.75,540,221,-355,1.29,False,60.1,恋人絮语
1.51,59335,188,214,1.12,False,52.2,前度
1.88,19,19463,30,0.72,False,33.5,赵氏孤儿
2.38,64996,109,3,0.58,False,27.1,绑架冰激凌
1.14,245983,15125,31,0.28,False,13.2,大笑江湖
0.23,917,8924,45,0.28,False,13.1,哈利·波特与死亡圣器（上)
0.04,811,2993,52,0.05,False,2.4,猫头鹰王国：守卫者传奇
0.07,67674,50,5,0.04,False,2.0,医生的假日
0.00,1049,1752,548,0.03,False,1.6,寻找成龙
0.06,3286,3,4497,0.02,False,0.8,一路上有你
0.06,325773,1,10,0.02,False,0.7,哥的传说
0.10,66395,21,11,0.01,False,0.4,回忆之前，忘记之后
0.02,286,21467,746,0.01,False,0.4,非诚勿扰
0.02,64673,470,202,0.01,False,0.3,替身传奇乐翻天
0.00,357,0,234,0.01,False,0.3,终极匹配
0.02,248634,2418,66,0.01,False,0.3,密室之不可告人
38.70,182,55573,19,48.25,False,1285.1,让子弹飞
38.01,3,40122,13,40.79,False,1086.3,非诚勿扰2
6.80,341590,2268,-1705,3.98,False,105.9,午夜邂逅
5.99,49553,431,4,2.50,False,66.6,一路有你
3.67,540,258,-354,1.39,False,37.0,恋人絮语
1.40,59335,216,215,1.07,False,28.5,前度
1.81,19,18131,31,0.71,False,19.0,赵氏孤儿
2.30,64996,125,4,0.60,False,16.1,绑架冰激凌
0.21,917,21034,46,0.22,False,6.0,哈利·波特与死亡圣器（上)
0.69,245983,15141,32,0.21,False,5.5,大笑江湖
0.05,811,2996,53,0.06,False,1.7,猫头鹰王国：守卫者传奇
0.01,79146,1566,70,0.04,False,1.0,第一书记
0.05,67674,51,6,0.04,False,1.0,医生的假日
0.07,325773,4,11,0.03,False,0.7,哥的传说
0.08,66395,22,12,0.02,False,0.6,回忆之前，忘记之后
0.09,3286,3,4498,0.02,False,0.5,一路上有你
0.02,286,21468,747,0.01,False,0.2,非诚勿扰
0.03,64673,470,203,0.01,False,0.2,替身传奇乐翻天
0.01,338500,0,1180,0.01,False,0.2,革命到底
0.00,498,1227,256,0.01,False,0.1,黑猫警长
39.11,182,54732,20,47.55,False,817.6,让子弹飞
37.98,3,39273,14,39.92,False,686.5,非诚勿扰2
6.82,341590,2348,-1704,4.67,False,80.3,午夜邂逅
6.14,49553,426,5,3.07,False,52.8,一路有你
3.88,540,248,-353,1.64,False,28.1,恋人絮语
1.48,59335,222,216,1.25,False,21.5,前度
1.60,19,18108,32,0.71,False,12.2,赵氏孤儿
2.07,64996,120,5,0.63,False,10.8,绑架冰激凌
0.16,917,21025,47,0.10,False,1.6,哈利·波特与死亡圣器（上)
0.41,245983,15131,33,0.08,False,1.4,大笑江湖
0.05,811,2997,54,0.07,False,1.2,猫头鹰王国：守卫者传奇
0.10,66395,22,13,0.05,False,0.8,回忆之前，忘记之后
0.01,709,1991,180,0.04,False,0.6,长江7号爱地球
0.06,67674,50,7,0.03,False,0.6,医生的假日
0.00,79146,1567,71,0.03,False,0.5,第一书记
0.00,800,555,105,0.03,False,0.5,虎王归来
0.08,3286,3,4499,0.03,False,0.5,一路上有你
0.02,64673,470,204,0.03,False,0.4,替身传奇乐翻天
0.00,247377,0,139,0.02,False,0.3,喋血孤城
0.01,471,0,-17,0.02,False,0.3,喜羊羊与灰太狼之兔年顶呱呱
38.77,182,55423,21,46.73,False,690.3,让子弹飞
37.38,3,39850,15,39.04,False,576.7,非诚勿扰2
7.16,341590,2425,-1703,5.17,False,76.4,午夜邂逅
6.45,49553,476,6,3.37,False,49.8,一路有你
4.02,540,276,-352,1.92,False,28.4,恋人絮语
1.55,59335,243,217,1.41,False,20.9,前度
2.01,64996,131,6,0.76,False,11.2,绑架冰激凌
