category,drama,name,image,stars,director,wishNum,score,version,scoreNum,duration,id,releaseTime
"喜剧,动作,剧情",民国年间，花钱捐得县长的马邦德（葛优 饰）携妻（刘嘉玲 饰）及随从走马上任。途经南国某地，遭劫匪张麻子（姜文 饰）一伙伏击，随从尽死，只夫妻二人侥幸活命。马为保命，谎称自己是县长的汤师爷。为汤师爷许下的财富所动，张麻子摇身一变化身县长，带着手下赶赴鹅城上任。有道是天高皇帝远，鹅城地处偏僻，一方霸主黄四郎（周润发 饰）只手遮天，全然不将这个新来的县长放在眼里。张麻子痛打了黄的武教头（姜武 饰），黄则设计害死张的义子小六（张默 饰）。原本只想赚钱的马邦德，怎么也想不到竟会被卷入这场土匪和恶霸的角力之中。鹅城上空愁云密布，血雨腥风在所难免……,让子弹飞,http://p0.meituan.net/w.h/movie/66/849902.jpg,姜文，周润发，葛优，刘嘉玲，姜武，廖凡，周韵，陈坤，张默，冯小刚，胡军，马元，苗圃，白冰，文祥，危笑，姚橹，胡明，杜奕衡，李静，邵兵，姜洪齐，周蟠，方志丹，郭俊立，黄西妮，杨奇雨，绀野千春，高木天，洼田美香，田场惠美子，长谷川多惠子，户泽早季，栗城理惠，高久保康子，宫城保奈美，三桥叶子，福田佳兴，石仓初美，中原明子，内田麻里，陈磊，赵铭，吴熙国，沙瑀，马珂,姜文,56,8.39999961853,2D,890,132,182,2010-12-16
"喜剧,爱情",在秦奋（葛优 饰）全然做好与笑笑（舒淇 饰）白头到老的准备之时，笑笑对秦奋的感情却仅仅止步于好感。在秦奋好友李香山（孙红雷 饰）和芒果（姚晨 饰）离婚典礼的启发下，秦奋与笑笑决定试婚。然而，好感毕竟不等同于爱情，共同生活期间，秦奋深沉的爱意 在笑笑那边却变成无形的压力， 两个最后只能分道扬镳。距离远了，感情似乎也就淡了，就在两人似乎已经忘记对方的时候，他们生活的轨迹又一次发生重合。老友李香山罹患重症，在他的人生告别会上，秦奋和笑笑再次相遇，在即将离世的老友点化下，笑笑似乎明白了婚姻的真谛……,非诚勿扰2,http://p0.meituan.net/w.h/movie/4/3.jpg,葛优，舒淇，姚晨，孙红雷，廖凡，安以轩，邵兵，李晨，窦文涛，张馨予，赵宝刚，邬逸聪，关晓彤，张涵予，乐嘉，侯伊荻,冯小刚,52,7.5,2D,304,120,3,2010-12-22
恐怖,妻子夏雪（刘雨鑫 饰）罹患癌症，致令某医院心脏外科专家顾振生（任达华 饰）备受打击，在巨大压力下，经他手术的病人不幸身亡。顾从此一蹶不振，精神恍惚，时常能看到诡异和恐怖的景象。与之类似，夏雪的妹妹夏晓雨（杨渝渝 饰）近一段时间也被噩梦所困扰，精神几近崩溃。为了带晓雨走出阴影，顾拜托同事——精神科医生麦翔昱（吴镇宇 饰） 为其治疗。麦为人圆滑自私，此前曾与女护士吴心遥（姚笛 饰）相恋，为攀援富贵转而追求院长的女儿温淼（李念 饰）。是时，314病房闹鬼的传闻甚嚣尘上，在鬼怪的阴影下，古老的背叛与忠贞的故事慢慢上演……本片由旅日导演张加贝执导。,午夜心跳,http://p0.meituan.net/w.h/movie/87/4035360.jpg,Null,Null,2,3.09999990463,Null,11,0,61325,2010-12-24
"剧情,爱情",小夫妻张谦（印小天 饰）和陆茵（黄奕 饰）在高速公路旁经营一家小餐馆。深夜，张谦骑车回家，因接到陆茵电话，没留意路况，被许城亮（古天乐 饰）驾驶的货柜车撞到。张谦死亡，赶来医院陆茵发现自己怀孕，却决定生下孩子，重开餐馆经营。城亮对车祸心存愧疚，事隔数月，鼓起勇气走进陆茵 的餐馆用餐，更在女友苏珊（莫文蔚 饰） 体谅下，主动帮忙店内杂务，两人渐成好友。后陆茵发现城亮就是撞死丈夫的司机，着城亮被张谦弟张军痛打致重伤……城亮回到家中与苏珊矛盾加深，发现两人之间已存在差异，经常大吵。陆茵进院生产，城亮守候照顾，陆茵感动，但她深信城亮只是责任，后把餐馆结束，带儿子回家乡重过新生活，并请城亮回到苏珊身边。但城亮却发觉一切都不复从前，最终跟苏珊分手。半年后，城亮再回国内找寻他相信的东西，去餐馆找陆茵，却发现已经人走楼空……,一路有你,http://p0.meituan.net/w.h/movie/57/3483489.jpg,古天乐，莫文蔚，黄奕，印小天，吕秀华，陈西贝，杨成成，王春山，曹金宝，黎耀祥，王志杰，鑫东，刘铁荣，梁大维，周芳，赖一鸣，彭勇，张依，车沅沅，彭伟明，凌丽，雷擎天，赵乐贤，李家辉，吴威信，陈华勇，王梓蘅，曹文凤，陈开心,赵崇基,0,5.69999980927,2D,14,108,49553,2010-12-31
"剧情,爱情",阿磊（陈奕迅 饰）和阿琪（范晓萱 饰）表面维持着正常的恋爱关系，暗中却与阿兰（林嘉欣 饰）相恋，这一切终被阿琪和阿兰男友阿宝（向佐 饰）发现，这段错位的爱情将何去何从？阿宝也隐藏这自己的秘密，年少时的阿宝（陈伟霆 饰）爱慕同学黎广生（陈家乐 饰）的母亲黎太太（陈洁仪 饰），还曾帮黎太偷拍黎先生（曾志伟 饰）的婚外情；长大后的黎广生（彭于晏 饰）成了牙医，街区洗衣店的店员阿芝（谢安琪 饰）一直暗恋他，每天幻想着各种与黎广生相处的情景，却在现实中无法开口表白……这一系列错综复杂的关系，是否能够修成正果？或许终是剪不断理还乱。,恋人絮语,http://p0.meituan.net/w.h/movie/19/425673.jpg,陈奕迅，林嘉欣，范晓萱，谢安琪，向佐，彭于晏，陈伟霆，陈家乐，曾志伟，陈洁仪，Pete Wong，郭星若，路畅，何思谚，郭翠怡，徐淑芬，李洛文，钱荣威，陈子慧，袁绮雯，Andy Douglas，小吉，Jenny T.，程家蔚，龙草琛,"曾国祥,尹志文",33,6.30000019073,2D,38,118,540,2011-12-23
爱情,恋爱超过一次的人，分了手的人，属于过去的人；毕竟都是我们爱过的──《前度》。刚从外地回港的陈均平(陈伟霆 饰)及其现任女友阿诗(诗雅 饰)，在机场巧遇前度女友──周怡(钟欣桐 饰)。周怡与旅行作家阿树(周俊伟 饰)正准备出发前往长途旅行，却发生争执闹至分手。为这次旅行而下定决心辞职、退掉公寓的周怡，一时无家可归，获对她念念不忘的陈均平和其女友阿诗收留。周怡前往二人的新居暂住，发现眼前追求物质生活的陈均平，早已不是曾经拥有梦想，一起共渡患难的陈均平。唯一不变的，是陈均平对周怡这位曾经分分合合，纠缠多年的前度思念如昔，始终没有放下过。短短两天内， 面对新居中熟悉的一事一物，处处勾起周怡与过往前度的回忆，30小时，回顾六年来的爱情游历。在和陈均平分手后，她遇上为她治疗失恋情伤的医生(杜汶泽 饰)，也爱过刺激浪漫的古惑仔阿升(向佐 饰)，有些人在她生命中仅短暂停留却刻骨铭心，有些人守候在身边却浑然不觉，就像陈均平的死党阿苏(曾国祥 饰)，见证着周怡与陈均平的几度复合与分手，只是默默地以朋友的身分守护着二人。每一次分手都是遇上下一位的机会，每一次错误结合令大家成为“前度”。可是周怡与陈均平又再共处一室，连番斗气却又极具默契，明明关系亲密却又刻意保持距离，二人曾经相爱的证据一一涌现，多年来纠缠累积的思念瞬间爆发……,前度,http://p0.meituan.net/w.h/movie/70/5993723.jpg,陈伟霆，钟欣潼，卫诗雅，曾国祥，周俊伟，向佐，杜汶泽，林二汶，恬妞，吴浩康，梁晓丰,麦曦茵,43,7,2D,93,95,59335,2010-06-03
"历史,动作,古装",春秋时期，晋灵公不喜权臣屠岸贾（王学圻 饰）当道，且厌丞相赵盾（鲍国安 饰）专横。赵盾之子赵朔（赵文卓 饰）双喜临门，不仅战功卓著，而且妻子庄姬（范冰冰 饰）也身怀六甲。屠岸贾视之为 心腹大患，设计在朝堂上投毒，借灵公之口，灭赵氏九族。庄姬在大夫程婴（葛优 饰）诊脉时，目睹夫君赵朔身亡，悲痛中决定生下婴儿。此时，屠岸贾手下韩厥（黄晓明 饰）前来灭种。临危之际，庄姬将婴儿托付程婴，让他交给公孙杵臼（张丰毅 饰），后拔剑自刎。韩厥因此被屠岸贾砍伤，后者下令封城，挨家挨户搜查婴儿。情急之下，程妻（海清 饰）把赵孤交上。程婴前去认领赵孤，程妻去见公孙杵臼。因封城，程妻母子被藏于影壁墙内。屠岸贾设苦肉计，逼程婴说出婴儿下落，相继诛杀公孙杵臼及程妻母子。程婴强忍悲痛，独自抚养赵孤。韩厥在求医时了解到真相，与程婴结下生死同盟。程婴携赵孤投奔屠岸贾门下，并让屠岸贾认下赵孤为义子。从此，展开了长达 15年的复仇计划……,赵氏孤儿,http://p1.meituan.net/w.h/movie/ed17f6b069be021d2b552fe6c2c84f2c159225.jpg,葛优，王学圻，黄晓明，范冰冰，海清，赵文浩，赵文卓，张丰毅，鲍国安，王翰，彭波，李耕，王劲松，刘亚津，董文军，陈飞宇，李东学，气壳，大庆,陈凯歌,45,7,2D,282,127,19,2010-12-04
喜剧,影片《绑架冰激凌》讲述了一个服装厂老板欲用“绑架”的方式请流行天后代言，却误绑了她的替身歌手，因而在阴错阳差间引爆了一场名为“绑架门”的娱乐圈爆笑风波，其中艺人叛逆、经纪公司雪藏、重金赎身、王牌经纪人大战传媒舆论等娱乐圈标签性热点话题均被一一捕获罗列。,绑架冰激凌,http://p0.meituan.net/w.h/movie/87/4158429.jpg,王文林，叶一茜，林苑，苏青，刘磊，李菲儿，瞿颖，赵美彤，孙兴，杜汶泽，巫刚,Null,1,4.59999990463,Null,5,0,64996,2010-12-31
"古装,喜剧,动作",吴迪（小沈阳 饰）以修鞋为生，最大乐趣就是看武侠漫画《飞剑》。某日，他遇到了修鞋女子月露（林熙蕾 饰），后者是皇上（陈志朋 饰）的表妹，因不愿做皇后，逃之夭夭。皇上派遣大内高手杨过（曾志伟 饰）追杀。吴迪盲打误撞杀了淫贼田扒光，救了月露。为了把鞋还给月露，吴迪前往泰山。途中，吴迪遭遇河盗独孤鸿（赵本山 饰）及其弟子（程野 饰），在世外高人的暗中帮助下，他击退了独孤鸿。老人临别时输给他深厚内力，赠给他一本《九阴真经》，由于他只看图，随手丢在一边。田扒光的神农教同门姐妹粉凤凰和红凤凰找他算账，结果他毫发无损，对方损兵折将。逃避追杀时，他掉进了万丈深渊，却遇到了世外高人的敌人（吴宗宪 饰），好在有惊无险。不过，最终吴迪还是住进了神农教主（恬妞 饰）开的黑店，并遇到了心上人月露……,大笑江湖,http://p0.meituan.net/w.h/movie/3ca50758090832d6c632721839183d30156352.jpg,小沈阳，赵本山，林熙蕾，曾志伟，陈志朋，程野，温玄烨，吴宗宪，黄一飞，梁家仁，徐少强，李国煌，恬妞，毕畅，王小虎，阿甘，孙一夫，陈慧娟，翟星月，张立威，高子沣，雪儿，翁笑笑，石铭熙，张少怀，王碧琪，张小光，郝汉，刘兴，张国英，郭明尔，周红，迟平基，袁愿，邵路雅，小琪，黎丽，付宏均，胡少龙，刚特，阿沙，巴特，宝音，白沙，苏力德，李昱孚，余辛，武宁，宝迪,朱延平,8,4.59999990463,2D,45,119,245983,2010-12-03
"动作,奇幻,冒险",邓不利多死后，伏地魔与食死徒入侵魔法学校，魔法部也被伏地魔的爪牙操控，邪恶的阴云笼罩魔法世界上空。在哈利·波特（丹尼尔·雷德克里夫 饰）17岁生日之际，凤凰社成员及一众好友护送他回到了凤凰社的据点陋居，然而这立即遭到食死徒毁灭性地打击。哈利和罗恩（鲁伯特·格林特 饰）、赫敏（爱玛·沃特森 饰）侥幸逃亡，并且按照邓不利多的嘱托继续寻找伏地魔的魂器。死亡的威胁时刻逡巡左右，他们还要面对友情的考验。在寻找摧毁魂器方法的过程中，死亡圣器的面纱也渐渐揭开。与此同时，为了置哈利于死地，伏地魔也在寻找最后一件死亡圣器。最后的决战即将到来……,哈利·波特与死亡圣器（上),http://p0.meituan.net/w.h/movie/12/911785.jpg,丹尼尔·雷德克里夫，爱玛·沃森，鲁伯特·格林特，海伦娜·伯翰·卡特，比尔·奈伊，理查德·格雷弗斯，哈利·米尔林，朱丽·沃特斯，邦妮·赖特，Ian Kelly，米歇尔·菲尔利，菲奥娜·肖，阿伦·瑞克曼，Carolyn Pickles，拉尔夫·费因斯，海伦·麦克洛瑞，詹森·艾萨克，汤姆·费尔顿，蒂莫西·斯波，Graham Duff，彼得·穆兰，Guy Henry，Arben Bajraktaraj，Rod Hunt，Suzanne Toase，拉尔夫·伊尼森，迈克尔·刚本，大卫·赖亚尔，罗彼·考特拉尼，布莱丹·格里森，詹姆斯·菲尔普斯，奥立佛·菲尔普斯，马克·威廉姆斯，乔治·哈里斯，安迪·林登，多姆纳尔·格里森，克蕾曼丝·波西，娜塔丽·特纳，大卫·休里斯，约翰·赫特，弗朗西斯·德·拉·图瓦，伊文娜·林奇，瑞斯·伊凡斯，Matyelok Gibbs，Eva Alexander，西蒙·迈克伯尼，马修·莱维斯，乔恩·康普林，戴文·穆雷，威廉姆·麦灵，Simon Grover，弗雷迪·史卓玛，Isabella Laughland，杰西·卡芙，Anna Shaffer，Amber Evans，Ruby Evans，梁佩诗，乔治娜·雷尼达斯，Louis Cordice，Scarlett Byrne，阿芙珊·阿扎德，伊梅尔达·斯汤顿，大卫·欧哈拉，斯戴凡·罗德里，尼克·莫兰，托比·琼斯，苏菲·汤普森，Daniel Tuite，Daisy Haggard，George Potts，Rose Keegan，奈德·丹内利，凯特·弗黎特伍德，拉德·舍博德兹加，杰米·坎贝尔·鲍尔，Hazel Douglas，安德尔·罗林，杰拉丁·萨莫维尔，米兰达·理查森，迈克尔·拜恩，大卫·勒格诺，萨缪尔·劳金，沃维克·戴维斯，Charlotte Atkinson，Alison Cain，Serena Catapano，艾略特·弗朗西斯，Emil Hostina，Peter G. Reed，Granville Saxton，Judith Sharp，Ashley McGuire，Penelope McGhie，Bob Yves Van Hellenberg Hubar，Tony Kirwood，Adrian Annis，Paul Khanna，Richard Strange，Anthony John Crocker，Sarah Jane O'Neill,大卫·叶茨,12,8.30000019073,2D/3D/IMAX 3D,194,146,917,2010-11-19
